# pdbid	traj	last100	last200	last300	last400	last500
1em8	1	-1.985359340	-0.967764443	-0.643524377	-0.478100821	-0.487106088
1em8	2	0.285860517	0.612686783	-0.570533775	-0.238109914	-0.031554479
1em8	3	-0.902470082	-0.061127825	0.073454228	0.158633476	-0.021861914
1em8	4	0.545876844	0.227489205	0.193086608	0.164464561	0.164278731
1em8	5	-0.129823298	0.180248208	0.138679380	0.204785486	0.191999402
1em8	6	0.402981784	0.145569059	0.443164825	0.408123018	0.480437164
1em8	7	-0.305230412	-0.010530881	-0.387908727	-0.137815523	0.006596028
1em8	8	0.627461282	0.556291747	0.642564340	0.631561320	0.686806259
1em8	9	0.660547316	0.520699629	0.269566773	0.110330859	0.293964969
1em8	10	0.157669925	0.366384323	0.484676575	0.547217619	0.550376631
1em8	11	1.135766222	1.239944559	0.931939703	0.458441914	0.375549720
1em8	12	-0.442598388	-0.788354586	-0.295878485	-0.270772917	-0.031191162
1em8	13	-0.222448411	0.166453067	0.288382327	0.144211519	0.341316051
1em8	14	0.540384130	0.221041335	0.202692890	0.037933502	-0.385892373
1em8	15	0.530537046	-1.518322156	-0.962750275	-0.533779582	-0.431535439
1em8	16	0.523190742	0.032718699	0.341743235	0.319960178	0.340950132
1em8	17	0.197002324	-1.713339520	-1.005055870	-0.535135516	-0.176199003
1em8	18	0.590625427	0.800097488	0.803094763	0.666540634	0.326221804
1em8	19	-0.505127886	0.187303753	0.393064890	0.501668978	0.499211998
1em8	20	-1.115910825	-0.277364338	-0.124103280	0.087931382	0.341061473
1em8	21	0.835328898	0.661491346	0.667523653	0.633574271	0.519713093
1em8	22	0.346625952	0.752599164	0.663243100	-0.060804841	0.042197033
1em8	23	0.827936634	0.553194263	0.424150705	0.414864143	0.509021398
1em8	24	-0.375131222	-0.237803667	-0.172572947	-0.243169702	-0.055982229
1em8	25	0.788081814	0.493096854	0.386741318	0.352315501	0.309419421
1em8	26	0.361294063	-0.033544248	-0.290371027	0.016150739	0.104148908
1em8	27	0.360710360	0.321956663	0.268139935	0.426698858	0.379727479
1em8	28	0.232563883	0.314904229	0.391241350	0.415039173	0.399477848
1em8	29	1.772853111	1.113857964	0.811472132	-0.296380984	-0.168232902
1em8	30	0.867760637	0.495239445	0.705145460	0.710398840	0.655654213
1em8	31	0.185290142	0.613603615	0.452167468	0.446171175	0.269055632
1em8	32	1.608513508	1.407077912	0.770377557	0.775869342	0.649146537
1em8	33	-1.005483628	0.022594439	-0.000372160	0.178247808	0.217878403
1em8	34	1.020464535	0.828930015	0.495931635	0.296336382	0.126232106
1em8	35	0.645215322	0.623754721	0.804749867	0.594623701	0.514683793
1em8	36	0.656837429	0.841510596	0.641951055	0.761781301	0.687313009
1em8	37	-0.262880847	0.245605876	-0.104668115	0.154342109	0.105623456
1em8	38	-4.288511514	-2.180774976	-1.183384932	-0.742332327	-0.553733942
1em8	39	1.113690247	0.726512932	0.586748188	0.459517418	0.494560561
1em8	40	0.707765585	0.931691147	0.880396533	0.951779166	0.206106058
1em8	41	-2.838949985	-0.842958316	-0.328613605	-0.637294494	-0.512020010
1em8	42	0.169376319	-0.000076449	0.204749260	0.111863826	0.174091122
1em8	43	0.754951642	1.099135602	0.642565000	0.465789261	0.427445430
1em8	44	-0.385554055	0.026593345	0.268113900	0.496908264	0.406820046
1em8	45	-0.362902264	0.157851207	0.588168560	0.361208795	0.391254876
1em8	46	0.093319138	-2.496726727	-3.661107453	-2.648068337	-2.107514051
1em8	47	1.098394678	0.875578493	0.632978443	0.365522132	-0.157535515
1em8	48	-3.539796117	-1.294707593	-0.665412798	-0.256354301	0.016789280
1em8	49	0.647679273	0.025368410	0.337255837	0.503381850	0.423409873
1em8	50	-0.370885735	0.200789846	0.349712982	0.497687220	0.535775047
