PDB	STRUC	k1	k2	f1	f2	R2
1p7l	dom1_dom3	4.660213359e-06	2.918136423e-03	9.800345721e-01	1.996542792e-02	0.796334810
2hnh	dom2_dom6	1.191982099e-28	1.684261146e-03	9.797198826e-01	2.028011738e-02	0.770629586
2h1f	d2	3.049843438e-05	2.469013528e-02	5.118047760e-02	9.488195224e-01	0.758232245
1fui	dom2_dom3	3.555389169e-10	9.356299478e-08	9.999997085e-01	2.914864762e-07	nan
1gt7	d1	1.865520725e-03	1.301625000e-02	6.697828227e-01	3.302171773e-01	0.962610160
2ptq	d1	1.891101875e-06	1.194479092e-01	1.212784939e-01	8.787215061e-01	0.837290998
1fts	d2	1.041802672e-05	8.247269355e-03	2.843266610e-01	7.156733390e-01	0.778129101
2hnh	dom4_dom5	1.274205964e-21	1.476957037e-04	9.108071319e-01	8.919286808e-02	0.908816927
1svt	d1	3.076018388e-27	3.290743347e-03	5.353283226e-01	4.646716774e-01	0.776383398
2ptq	d3	2.009201978e-21	4.960379524e-03	1.148760437e-01	8.851239563e-01	0.694311670
1fts	dom1_dom2	2.173061195e-07	1.465531525e-01	1.602300556e-01	8.397699444e-01	0.978362010
2ptq	dom2_dom3	1.105674141e-20	2.315043025e-02	1.191514839e-01	8.808485161e-01	0.875977541
1svt	dom2_dom3	6.105000066e-05	5.741043313e-02	7.152477996e-01	2.847522004e-01	0.783525892
1svt	d3	6.635028018e-05	1.106899899e-02	7.667283542e-01	2.332716458e-01	0.831384694
1a69	d1	1.034403150e-27	3.220789470e-03	3.569645137e-01	6.430354863e-01	0.806673637
1m3u	d1	3.422992025e-03	3.422940240e-03	7.816493043e-01	2.183506957e-01	0.523980637
1fts	dom2_dom3	6.906255180e-06	1.856188706e-02	2.304161246e-01	7.695838754e-01	0.895692440
2hg2	d2	1.398600164e-05	4.578689010e-02	5.192470570e-01	4.807529430e-01	0.355501543
3hwo	d1	9.673659588e-06	6.560689220e-03	5.242200310e-01	4.757799690e-01	0.814195152
1ger	d2	1.069061021e-04	9.905243372e-04	2.127752940e-01	7.872247060e-01	0.967612097
1ger	dom1_dom2	1.164794287e-26	6.118671247e-04	8.370453368e-02	9.162954663e-01	0.990359340
2id0	dom2_dom3	1.416473897e-14	2.474910296e-04	1.571248471e-01	8.428751529e-01	0.987776838
