PDB	STRUC	k1	k2	f1	f2	R2
1em8	d1	5.005577418e-03	5.005512822e-03	9.118640265e-01	8.813597346e-02	0.442595338
4e8b	dom1_dom2	1.278107795e-10	5.526144793e-08	9.999998783e-01	1.216526990e-07	nan
3nxc	d1	4.766479569e+00	4.165759494e-02	7.539939577e-01	2.460060423e-01	0.759356373
3ofo	d2	1.333378045e-03	1.571850693e-01	3.112194039e-01	6.887805961e-01	0.972483427
1naq	d1	1.261643363e-05	1.376640623e-01	2.545533232e-01	7.454466768e-01	0.881743565
2v81	d1	1.790634850e-06	1.087134675e-03	9.806275569e-01	1.937244314e-02	0.926777476
3bmb	d1	2.976130469e-04	2.978244945e-04	9.959425167e-01	4.057483322e-03	0.993302670
2oq3	d1	2.756283016e-03	2.756130369e-03	8.132671619e-01	1.867328381e-01	0.941248206
3n1s	d1	1.715904301e-03	1.715825414e-03	9.124870987e-01	8.751290134e-02	0.981518869
3nxc	dom1_dom2	3.785520443e-03	3.784964435e-03	7.710651848e-01	2.289348152e-01	0.527676603
1dfu	d1	3.080144379e-06	9.266265397e-03	4.049343006e-01	5.950656994e-01	0.559162667
1pf5	d1	6.534242508e-06	7.512378917e-02	1.644169853e-01	8.355830147e-01	0.558445018
4e8b	d1	1.278107795e-10	5.526144793e-08	9.999998783e-01	1.216526990e-07	nan
1woc	d1	1.178591279e-05	4.471241822e-02	8.802672330e-02	9.119732767e-01	0.386754420
2uyj	d1	3.816209139e-03	3.816425894e-03	9.442155651e-01	5.578443491e-02	0.487211107
4iwx	d3	2.976166973e-05	2.285799407e-03	9.961181819e-01	3.881818142e-03	0.982326698
4dzd	d2	3.311797617e-05	1.431701762e-02	2.080502509e-01	7.919497491e-01	0.879195746
4iwx	dom1_dom3	2.646596598e-05	2.662063781e-05	9.998777910e-01	1.222089531e-04	0.976024876
1fjj	d1	3.328590694e-03	5.549148217e-19	9.020826228e-01	9.791737715e-02	0.813450693
2kfw	d2	5.510003010e-04	1.175714295e-02	4.570372583e-02	9.542962742e-01	0.977406300
3gn5	d2	2.651544051e+00	8.962049572e-02	2.557883476e-01	7.442116524e-01	0.997878233
2ho9	d1	4.757327842e-02	4.757109947e-02	1.983928506e-01	8.016071494e-01	0.948404583
4a2c	d1	3.469078891e-18	7.512638955e-03	2.199475361e-01	7.800524639e-01	0.892770878
2hd3	d1	5.185239297e-05	5.151224304e-02	1.889066145e-01	8.110933855e-01	0.959078263
1a6j	d1	6.480191322e-05	6.479492624e-05	9.978931415e-01	2.106858533e-03	0.996640064
1h75	d1	2.353274252e-02	6.180072403e-02	3.391012243e-01	6.608987757e-01	0.992503015
1fm0	d1	9.315029907e-03	1.335776615e-01	5.179264433e-01	4.820735567e-01	0.991972644
1oro	d1	2.076525441e-05	4.078999527e-03	1.143253682e-01	8.856746318e-01	0.936544846
3gn5	d1	1.369920667e-05	4.250255300e-02	4.141924197e-01	5.858075803e-01	0.945949427
1dxe	d1	5.523464450e-05	2.167518551e-03	1.000000000e+00	1.110223025e-16	0.975792945
2a6q	d1	3.662187105e-02	3.661672790e-02	1.403284707e-01	8.596715293e-01	0.880509964
2yva	d1	2.269029930e-04	1.844417888e-04	1.000000000e+00	1.110223025e-16	0.988633329
1ah9	d1	1.522789988e-05	6.595712316e-02	2.312475505e-01	7.687524495e-01	0.946179177
1t8k	d1	2.328155215e-02	2.328338553e-02	1.800787979e-01	8.199212021e-01	0.968969567
1i6o	d1	2.483130885e-05	2.858148724e-02	6.697308333e-02	9.330269167e-01	0.949204295
2axd	d1	9.241923705e-02	9.241951578e-02	1.960776977e-01	8.039223023e-01	0.994999848
1jns	d1	2.653441481e-02	2.653422184e-02	1.816552509e-01	8.183447491e-01	0.802958622
1gqt	d1	4.880436064e-11	3.177084468e-08	9.999999460e-01	5.399751513e-08	nan
1ake	d1	4.766163427e-03	4.765943347e-03	7.466969777e-01	2.533030223e-01	0.617223425
3iv5	d1	8.719557403e-02	8.719732935e-02	1.966768657e-01	8.033231343e-01	0.917025081
1dcj	d1	1.145493299e-02	1.145495001e-02	5.041084620e-01	4.958915380e-01	0.807758938
1k7j	d1	1.487217027e-21	1.729974146e-05	5.627665452e-01	4.372334548e-01	0.973221035
3gn5	dom1_dom2	5.542900882e-02	5.542629114e-02	1.995237710e-01	8.004762290e-01	0.697686011
2hgk	d1	3.525396704e-03	5.727297427e-02	2.846059775e-02	9.715394023e-01	0.987765418
2d1p	d1	4.758207082e-03	4.758237067e-03	7.511887363e-01	2.488112637e-01	0.632335776
2jrx	d1	6.374909585e-02	6.374111429e-02	1.937057094e-01	8.062942906e-01	0.982848578
1sg5	d1	9.242542577e-02	9.242247102e-02	1.994473269e-01	8.005526731e-01	0.967482076
2jee	d1	4.381706426e-02	4.381998253e-02	1.980186572e-01	8.019813428e-01	0.933544903
2kc5	d1	5.951466775e-02	5.951346085e-02	1.908396724e-01	8.091603276e-01	0.956743218
1xn7	d1	3.198317463e-03	3.198312763e-03	7.294537865e-01	2.705462135e-01	0.896964312
2jo6	d1	3.446932807e-06	8.441580803e-03	4.032798448e-01	5.967201552e-01	0.465540625
1jw2	d1	1.140315491e-02	1.140355206e-02	7.919379377e-01	2.080620623e-01	0.893851105
1glf	dom1_dom2	7.789668298e-05	7.842265429e-05	9.991749158e-01	8.250841603e-04	0.978655912
1glf	d2	7.790536602e-05	7.806639920e-05	9.991738397e-01	8.261603091e-04	0.978398884
1glf	d1	7.907438515e-05	7.932234899e-05	9.990447316e-01	9.552684291e-04	0.979090905
1d2f	d2	3.119986722e-03	3.120096677e-03	8.487071184e-01	1.512928816e-01	0.845808018
1d2f	dom1_dom2	6.331255127e-03	6.331762778e-03	6.685633973e-01	3.314366027e-01	0.809311424
1d2f	d1	1.426617966e-02	1.426632109e-02	2.549631570e-01	7.450368430e-01	0.758065839
1xvi	d1	5.796307732e-19	1.970655635e-03	2.595248884e-01	7.404751116e-01	0.984549006
1xvi	d2	1.419311567e-10	5.237797225e-08	9.999998717e-01	1.282808408e-07	nan
1xvi	dom1_dom2	1.419311567e-10	5.237797225e-08	9.999998717e-01	1.282808408e-07	nan
2qcu	d1	1.086308590e-19	3.450453180e-04	6.860418590e-01	3.139581410e-01	0.947047005
2qcu	d2	1.185555358e-18	1.697317079e-03	2.553170717e-01	7.446829283e-01	0.988251795
2qcu	dom1_dom2	6.007622248e-25	5.012945065e-04	6.212548167e-01	3.787451833e-01	0.965675239
