# protid, traj, prob(G0|protid traj), prob(G1|protid traj), prob(G2|protid traj), prob(G3|protid traj), prob(G4|protid traj), prob(G5|protid traj)
1a69, 1, 0.30602861640477413, 0.0, -0.5030424195247882, 0.0, 0.2182018688934096, -0.021188065773395392
1a69, 10, 0.002640635088265564, 0.0, -0.0028163750532876897, 0.0, 0.0, 0.00017573996502219524
1a69, 11, 0.01007662326526998, 0.0, -0.010098893322191826, 0.0, 0.0, 2.2270056921919884e-05
1a69, 12, -0.0032402319607950925, 0.0, 0.0029150352968356774, 0.0, 0.0, 0.0003251966639594532
1a69, 13, -0.0005409378407979504, 0.0, -0.001587167008268886, 0.0, 0.0, 0.0021281048490668295
1a69, 14, 0.3545824100973954, 0.0, -0.33339434432399995, 0.0, 0.0, -0.021188065773395392
1a69, 15, 0.3054979267100361, 0.00010895619960775768, -0.5063856441640909, 0.0, 0.2219668270278425, -0.021188065773395392
1a69, 16, 0.00639689798023485, 0.0, -0.00673784867508509, 0.0, 0.0, 0.000340950694850347
1a69, 17, -0.13552064643202275, 4.646581045666598e-06, 0.1517182841623722, 0.0, 0.00498578146200026, -0.021188065773395392
1a69, 18, 0.00047169316869999367, 0.0, 0.000960345168050325, 0.0, 0.0, -0.0014320383367502215
1a69, 19, 0.0010321117297245053, 0.0, -0.0019585943474335066, 0.0, 0.0, 0.0009264826177090915
1a69, 2, -0.01015149747731442, 0.0, 0.01118346411971538, 0.0, 0.0, -0.0010319666424008639
1a69, 20, -0.0015751367293752594, 0.0, 0.0018738540022537054, 0.0, 0.0, -0.000298717272878328
1a69, 21, 0.35617353019753833, 0.0, -0.3349877820232956, 0.0, 2.3175991526857498e-06, -0.021188065773395392
1a69, 22, -0.003010059966442047, 0.0, 0.0034196530604431175, 0.0, 0.0, -0.00040959309400105323
1a69, 23, 0.0026841404881542408, 0.0, -0.002206500062339134, 0.0, 0.0, -0.0004776404258150478
1a69, 24, 8.657310386145367e-05, 0.0, -0.0013535346688356986, 0.0, 0.0, 0.0012669615649743247
1a69, 25, 0.3440208017984899, 0.0, -0.32283273602509444, 0.0, 0.0, -0.021188065773395392
1a69, 26, -0.004075566678683473, 0.0, 0.005167663949433576, 0.0, 0.0, -0.0010920972707501066
1a69, 27, -0.14630385210870048, 0.0, 0.16413362360977402, 0.0, 0.003358294272321939, -0.021188065773395392
1a69, 28, 0.0008342495614311884, 0.0, -0.0005230961378163146, 0.0, 0.0, -0.0003111534236148253
1a69, 29, 0.0007090490886093592, 0.0, 3.2309507909777935e-05, 0.0, 0.0, -0.0007413585965190574
1a69, 3, -0.0014749812702776754, 0.0, 0.0014459417805152697, 0.0, 0.0, 2.9039489762502924e-05
1a69, 30, 0.005069075190717198, 0.0, -0.004797914861447872, 0.0, 0.0, -0.00027116032926931613
1a69, 31, -0.13096593874345588, 0.0, 0.14792694016896069, 0.0, 0.004227064347890644, -0.021188065773395392
1a69, 32, 0.35545889322232266, 0.0, -0.33433147111143124, 0.0, 6.064366250402347e-05, -0.021188065773395392
1a69, 33, -0.0023302276388500465, 0.0, 0.0023525086532770745, 0.0, 0.0, -2.2281014427014134e-05
1a69, 34, -0.003347424467337601, 0.0, 0.004270454562853354, 0.0, 0.0, -0.000923030095515677
1a69, 35, -0.002477047574169222, 0.0, 0.00229882827090222, 0.0, 0.0, 0.00017821930326700555
